point,salary,year
48,55297,2017
49,56950,2017
50,58655,2017
51,60410,2017
52,62204,2017
53,64225,2017
54,66236,2017
55,68385,2017
56,70531,2017
57,72820,2017
58,75107,2017
59,77731,2017
60,80353,2017
61,83159,2017
62,85476,2017
63,89424,2017
64,92875,2017
65,95638,2017
66,98401,2017
2,15842,2018
3,16146,2018
4,16460,2018
5,16766,2018
6,17079,2018
7,17408,2018
8,17751,2018
9,18189,2018
10,18688,2018
11,19202,2018
12,19730,2018
13,20275,2018
14,20836,2018
15,21414,2018
16,22017,2018
17,22659,2018
18,23334,2018
19,24029,2018
20,24771,2018
21,25482,2018
22,26243,2018
23,27025,2018
24,27830,2018
25,28660,2018
26,29515,2018
27,30395,2018
28,31302,2018
29,32236,2018
30,33199,2018
31,34189,2018
32,35211,2018
33,36261,2018
34,37345,2018
35,38460,2018
36,39609,2018
37,40792,2018
38,42036,2018
39,43267,2018
40,44559,2018
41,45892,2018
42,47263,2018
43,48677,2018
44,50132,2018
45,51630,2018
46,53174,2018
47,54765,2018
48,56403,2018
49,58089,2018
50,59828,2018
51,61618,2018
52,63448,2018
53,65510,2018
54,67561,2018
55,69753,2018
56,71942,2018
57,74276,2018
58,76609,2018
59,79286,2018
60,81960,2018
61,84822,2018
62,87186,2018
63,91212,2018
64,94733,2018
65,97551,2018
66,100369,2018
3,16736,2019
4,17046,2019
5,17361,2019
6,17682,2019
7,18009,2019
8,18342,2019
9,18709,2019
10,19133,2019
11,19612,2019
12,20130,2019
13,20675,2019
14,21236,2019
15,21814,2019
16,22417,2019
17,23067,2019
18,23754,2019
19,24462,2019
20,25217,2019
21,25941,2019
22,26715,2019
23,27511,2019
24,28331,2019
25,29176,2019
26,30046,2019
27,30942,2019
28,31865,2019
29,32816,2019
30,33797,2019
31,34804,2019
32,35845,2019
33,36914,2019
34,38017,2019
35,39152,2019
36,40322,2019
37,41526,2019
38,42793,2019
39,44046,2019
40,45361,2019
41,46718,2019
42,48114,2019
43,49553,2019
44,51034,2019
45,52559,2019
46,54131,2019
47,55751,2019
48,57418,2019
49,59135,2019
50,60905,2019
51,62727,2019
52,64590,2019
53,66689,2019
54,68777,2019
55,71009,2019
56,73237,2019
57,75613,2019
58,77988,2019
59,80713,2019
60,83435,2019
61,86349,2019
62,88755,2019
63,92854,2019
64,96438,2019
65,99307,2019
66,102176,2019
1,13486,2012
2,13839,2012
3,14202,2012
4,14520,2012
5,14905,2012
6,15303,2012
7,15658,2012
8,16091,2012
9,16540,2012
10,17014,2012
11,17503,2012
12,18005,2012
13,18523,2012
14,19056,2012
15,19606,2012
16,20172,2012
17,20764,2012
18,21383,2012
19,22020,2012
20,22700,2012
21,23352,2012
22,24049,2012
23,24766,2012
24,25504,2012
25,26264,2012
26,27047,2012
27,27854,2012
28,28685,2012
29,29541,2012
30,30424,2012
31,31331,2012
32,32267,2012
33,33230,2012
34,34223,2012
35,35244,2012
36,36298,2012
37,37382,2012
38,38522,2012
39,39649,2012
40,40834,2012
41,42055,2012
42,43312,2012
43,44607,2012
44,45941,2012
45,47314,2012
46,48729,2012
47,50186,2012
48,51687,2012
49,53233,2012
50,54826,2012
51,56467,2012
52,58144,2012
53,60032,2012
54,61913,2012
55,63922,2012
56,65927,2012
57,68067,2012
58,70205,2012
59,72657,2012
60,75109,2012
61,77732,2012
62,79896,2012
63,83587,2012
64,86813,2012
65,89395,2012
66,91978,2012
3,16736,2020
4,17338,2020
5,17361,2020
6,17682,2020
7,18009,2020
8,18342,2020
9,18709,2020
10,19133,2020
11,19612,2020
12,20130,2020
13,20675,2020
14,21236,2020
15,21814,2020
16,22417,2020
17,23067,2020
18,23754,2020
19,24462,2020
20,25217,2020
21,25941,2020
22,26715,2020
23,27511,2020
24,28331,2020
25,29176,2020
26,30046,2020
27,30942,2020
28,31865,2020
29,32816,2020
30,33797,2020
31,34804,2020
32,35845,2020
33,36914,2020
34,38017,2020
35,39152,2020
36,40322,2020
37,41526,2020
38,42793,2020
39,44046,2020
40,45361,2020
41,46718,2020
42,48114,2020
43,49553,2020
44,51034,2020
45,52559,2020
46,54131,2020
47,55751,2020
48,57418,2020
49,59135,2020
50,60905,2020
51,62727,2020
52,64590,2020
53,66689,2020
54,68777,2020
55,71009,2020
56,73237,2020
57,75613,2020
58,77988,2020
59,80713,2020
60,83435,2020
61,86349,2020
62,88755,2020
63,92854,2020
64,96438,2020
65,99307,2020
66,102176,2020
66,90104,2008
65,87570,2008
64,85036,2008
63,81871,2008
62,78249,2008
61,76125,2008
60,73551,2008
59,71146,2008
58,68740,2008
57,66642,2008
56,64542,2008
55,62574,2008
54,60603,2008
53,58758,2008
52,56904,2008
51,55259,2008
50,53650,2008
49,52086,2008
48,50569,2008
47,49096,2008
46,47666,2008
45,46278,2008
44,44930,2008
43,43622,2008
42,42351,2008
41,41118,2008
40,39920,2008
39,38757,2008
38,37651,2008
37,36532,2008
36,35469,2008
35,34435,2008
34,33432,2008
33,32458,2008
32,31513,2008
31,30594,2008
30,29704,2008
29,28839,2008
28,27999,2008
27,27183,2008
26,26391,2008
25,25623,2008
24,24877,2008
23,24152,2008
22,23449,2008
21,22765,2008
20,22126,2008
19,21458,2008
18,20834,2008
17,20226,2008
16,19645,2008
15,19089,2008
14,18550,2008
13,18027,2008
12,17519,2008
11,17026,2008
10,16547,2008
9,16081,2008
8,15641,2008
7,15216,2008
6,14867,2008
5,14477,2008
4,14099,2008
3,13787,2008
2,13431,2008
1,13085,2008
66,91067,2011
65,88510,2011
64,85953,2011
63,82759,2011
62,79105,2011
61,76962,2011
60,74365,2011
59,71938,2011
58,69510,2011
57,67393,2011
56,65274,2011
55,63289,2011
54,61300,2011
53,59438,2011
52,57568,2011
51,55908,2011
50,54283,2011
49,52706,2011
48,51175,2011
47,49689,2011
46,48246,2011
45,46846,2011
44,45486,2011
43,44166,2011
42,42883,2011
41,41639,2011
40,40430,2011
39,39257,2011
38,38140,2011
37,37012,2011
36,35938,2011
35,34895,2011
34,33884,2011
33,32901,2011
32,31948,2011
31,31020,2011
30,30122,2011
29,29249,2011
28,28401,2011
27,27578,2011
26,26779,2011
25,26004,2011
24,25251,2011
23,24520,2011
22,23811,2011
21,23121,2011
20,22475,2011
19,21802,2011
18,21171,2011
17,20559,2011
16,19972,2011
15,19411,2011
14,18868,2011
13,18340,2011
12,17827,2011
11,17329,2011
10,16846,2011
9,16376,2011
8,15932,2011
7,15503,2011
6,15151,2011
5,14758,2011
4,14376,2011
3,14061,2011
2,13702,2011
1,13353,2011
66,90917,2010
65,88360,2010
64,85803,2010
63,82609,2010
62,78955,2010
61,76812,2010
60,74215,2010
59,71788,2010
58,69360,2010
57,67243,2010
56,65124,2010
55,63139,2010
54,61150,2010
53,59288,2010
52,57418,2010
51,55758,2010
50,54133,2010
49,52556,2010
48,51025,2010
47,49539,2010
